noun	gender-singular
Самуило	m
Сандра	f
Санела	f
Сања	f
Сара	f
Саша	m
Светибор	m
Светислав	m
Светислава	f
Светко	m
Светлана	f
Светозар	m
Светолик	m
Светољуб	m
Светомир	m
Светорад	m
Свјетлана	f
Севетка	f
Секана	f
Секула	m
Секуле	m
Селак	m
Селена	f
Селимир	m
Сенија	f
Сенка	f
Серафим	m
Сергеј	m
Сергије	m
Сибин	m
Сибина	f
Сибинка	f
Сима	m
Симана	f
Симеон	m
Симеун	m
Симеуна	f
Симка	f
Симо	m
Симон	m
Симона	f
Симонида	f
Синадин	m
Синђа	f
Синђел	m
Синђелија	f
Синиша	m
Скоросав	m
Скоросава	f
Славен	m
Славенка	f
Славенко	m
Славимир	m
Славица	f
Славиша	m
Славка	f
Славко	m
Славна	f
Славо	m
Славојка	f
Славољуб	m
Славомир	m
Славуј	m
Славујка	f
Сладоје	m
Слађан	m
Слађана	f
Слађанка	f
Слободан	m
Слободанка	f
Словен	m
Словенка	f
Смиља	f
Смиљан	m
Смиљана	f
Смиљка	f
Смиљко	m
Смољан	m
Смољана	f
Смољка	f
Снежана	f
Сњежан	m
Сњежана	f
Совија	f
Совка	f
Сока	f
Соко	m
Сокол	m
Соломон	m
Солумија	f
Соња	f
Сотир	m
Софија	f
Софка	f
Спасена	f
Спасенија	f
Спасенка	f
Спасоја	m
Спасоје	m
Спира	m
Спиридон	m
Споменка	f
Споменко	m
Србијанка	f
Србин	m
Србислав	m
Србислава	f
Србољуб	m
Србослав	m
Срдан	m
Срђа	m
Срђан	m
Средоја	m
Средоје	m
Сретен	m
Сретенка	f
Сретко	m
Срето	m
Срећан	m
Срећко	m
Стаја	m
Стајка	f
Стајко	m
Стајо	m
Стака	f
Стамат	m
Стамен	m
Стамена	f
Стаменка	f
Стаменко	m
Стана	f
Станава	f
Станача	f
Станија	f
Станика	f
Станимир	m
Станимирка	f
Станисав	m
Станисава	f
Станислав	m
Станислава	f
Станиславка	f
Станица	f
Станиша	m
Станка	f
Станко	m
Станоја	m
Станоје	m
Станојка	f
Станојко	m
Станојла	f
Станојло	m
Сташа	f
Стева	m
Стеван	m
Стеванија	f
Стеванка	f
Стевица	m
Стевка	f
Стево	m
Степан	m
Стефан	m
Стефана	f
Стефанија	f
Стјепан	m
Стоиљко	m
Стоин	m
Стоисава	f
Стоић	m
Стоја	f
Стојадин	m
Стојадинка	f
Стојак	m
Стојан	m
Стојана	f
Стојанка	f
Стојка	f
Стојко	m
Стојмен	m
Стојна	f
Стојша	m
Страин	m
Страиња	m
Стратимир	m
Страхин	m
Страхиња	m
Страцимир	m
Стрибог	m
Стрибор	m
Струја	f
Сузана	f
Сунце	f
Сунчаница	f
Сунчица	f
Тадеј	m
Тадеја	f
Тадеју	m
Тадија	m
Тајана	f
Тамара	f
Танасије	m
Танаско	m
Танацко	m
Танкоса	f
Танкосава	f
Тања	f
Тара	f
Татјана	f
Татомир	m
Твртко	m
Теа	f
Теодор	m
Теодора	f
Теодосије	m
Теона	f
Теофил	m
Тешан	m
Тијана	f
Тимка	f
Тимотеј	m
Тимотије	m
Тиодор	m
Тиосав	m
Тиосава	f
Тихомир	m
Тихомирка	f
Тодор	m
Тодора	f
Тома	m
Томана	f
Томанија	f
Томаш	m
Томислав	m
Томица	m
Томка	f
Томо	m
Топлица	m
Тоша	m
Тошо	m
Трајан	m
Трајанка	f
Трајко	m
Трајче	m
Трива	m
Тривко	m
Триво	m
Тривун	m
Трипко	m
Трипо	m
Трипун	m
Трифко	m
Трифун	m
Триша	m
Тришо	m
Тројан	m
Трпко	m
Ћерана	m
Ћетко	m
Ћира	m
Ћирило	m
Ћирјак	m
Ћирко	m
Ћиро	m
Убавка	f
Угљеша	m
Угрен	m
Угрин	m
Угринка	f
Угриња	f
Умиљен	m
Уна	f
Урош	m
Урошиц	m
Утешен	m
Утјешен	m
Фема	m
Фемка	m
Филимон	m
Филип	m
Хвалимир	m
Хвалислав	m
хипокористик	m
Хранимир	m
Хранислав	m
Хранислава	f
Храниша	m
Храстимир	m
Христ	m
Христивоје	m
Христијан	m
Христина	f
Христослав	m
Христоф	m
Цвеја	m
Цвејан	m
Цвета	f
Цветан	m
Цветана	f
Цветанка	f
Цветин	m
Цветко	m
Цветоје	m
Цветош	m
Цвија	f
Цвијан	m
Цвијета	f
Цвијетин	m
Цвијо	m
Цвико	m
Цвјетан	m
Цвјетко	m
Цвјетоје	m
Цвјетош	m
Цмиља	f
Цмиљана	f
Цмиљка	f
Цурко	m
Чарна	f
Часлав	m
Чаславка	f
Чеда	m
Чедо	m
Чедомир	m
Чедомирка	f
Чубрило	m
Шакота	m
Шале	m
Шана	f
Шпиро	m
Шћепан	m
шума	m
Шуменко	m
Шутан	m
